Date,Open,High,Low,Close,Adj Close,Volume
2014-11-11,36.634182,37.061470,36.431786,36.994003,35.369389,3099800
2014-11-12,36.926537,38.050976,36.746628,37.961018,36.293934,7055100
2014-11-13,38.028484,38.208397,37.488754,37.646175,35.992912,5539900
2014-11-14,37.646175,38.185905,37.353825,38.095951,36.422939,3928600
2014-11-17,38.028484,38.118443,37.668667,37.848576,36.186428,3407900
2014-11-18,37.826088,38.703148,37.826088,38.590706,36.895977,6547000
2014-11-19,38.523239,38.523239,37.376312,37.533733,35.885414,7054100
2014-11-20,37.263866,38.635681,37.173912,38.500751,36.809959,6040000
2014-11-21,39.400299,39.917542,38.973015,39.242878,37.519512,9197500
2014-11-24,39.355324,39.602699,38.590706,38.725636,37.024971,5755600
2014-11-25,38.905548,39.715141,38.838081,39.062969,37.347492,6464900
2014-11-26,39.265366,39.580212,38.793102,39.580212,37.842010,4064400
2014-11-28,39.535233,39.557720,38.590706,38.883057,37.175480,3920000
2014-12-01,39.130436,39.175411,38.230885,38.545727,36.852966,5924900
2014-12-02,38.500751,39.062969,38.365818,38.905548,37.196987,6004400
2014-12-03,38.928036,39.152924,38.590706,38.703148,37.003471,7230000
2014-12-04,38.973015,39.242878,38.568214,38.770615,37.067974,6098300
2014-12-05,39.040482,39.107944,38.028484,38.118443,36.444447,7257000
2014-12-08,38.005997,38.140930,36.499249,36.634182,35.025379,9780000
2014-12-09,35.802097,36.386806,35.419788,36.071964,34.487846,10071200
2014-12-10,35.937031,36.364319,35.037479,35.149925,33.606289,8179500
2014-12-11,35.149925,35.374813,33.980511,34.092953,32.595737,9024200
2014-12-12,33.778111,34.385307,33.395802,33.440781,31.972202,8512900
2014-12-15,33.868065,34.385307,33.508247,33.575710,32.101208,11441300
2014-12-16,33.823090,34.205399,32.406296,32.451275,31.026152,13061700
2014-12-17,32.788605,33.890556,32.586208,33.845577,32.359226,11779200
2014-12-18,34.812595,35.509747,34.542728,35.487255,33.928810,13096900
2014-12-19,35.487255,36.071964,35.374813,35.847076,34.272827,8968700
2014-12-22,35.914543,35.959518,34.812595,35.397301,33.842800,7624600
2014-12-23,35.532234,35.937031,35.239880,35.374813,33.821304,4683600
2014-12-24,35.464767,35.622189,34.992504,35.464767,33.907314,2198400
2014-12-26,35.712143,35.824589,35.487255,35.577213,34.014824,2826200
2014-12-29,35.622189,35.892056,35.374813,35.577213,34.014824,3151700
2014-12-30,35.374813,35.824589,35.149925,35.644676,34.079319,4118400
2014-12-31,35.644650,36.049450,35.464741,35.509720,33.950287,8842400
2015-01-02,35.689629,35.937004,35.239853,35.712116,34.143795,10430000
2015-01-05,35.172386,35.194878,33.485733,33.643154,32.165695,21690600
2015-01-06,33.778084,34.565193,33.395779,33.890530,32.402210,19377000
2015-01-07,34.362793,35.014965,34.205372,34.767590,33.240738,15950500
2015-01-08,35.217365,36.094425,34.969990,35.757095,34.186794,19670600
2015-01-09,36.049450,36.319313,35.419762,36.229359,34.638317,16685700
2015-01-12,36.881531,36.948997,35.824562,36.364292,34.767326,30419200
2015-01-13,37.038952,37.173885,35.307320,35.532207,33.971790,37789700
2015-01-14,34.767590,34.812569,32.698627,33.620663,32.144188,54936800
2015-01-15,34.092930,34.250351,33.508221,33.665642,32.187195,26455000
2015-01-16,33.643154,34.362793,33.643154,34.362793,32.853718,21762800
2015-01-20,34.542702,35.037457,33.868042,34.969990,33.434261,25916200
2015-01-21,34.969990,36.049450,34.700123,35.802071,34.229797,20600900
2015-01-22,36.049450,36.139404,35.329807,36.071938,34.487820,15373600
2015-01-23,35.532207,35.869537,34.947498,35.442253,33.885780,18647200
