Date,Open,High,Low,Close,Adj Close,Volume
2007-05-14,100.559998,100.559998,100.430000,100.430000,79.660736,8400
2007-05-15,100.500000,100.550003,100.360001,100.440002,79.668694,8300
2007-05-16,100.449997,100.519997,100.449997,100.510002,79.724182,4700
2007-05-17,100.349998,100.410004,100.260002,100.279999,79.541779,8800
2007-05-18,100.239998,100.260002,100.050003,100.099998,79.398987,3300
2007-05-21,100.050003,100.239998,100.050003,100.239998,79.509987,5300
2007-05-22,100.059998,100.150002,99.989998,99.989998,79.311707,9900
2007-05-23,100.129997,100.129997,99.970001,99.989998,79.311707,4000
2007-05-24,100.019997,100.040001,99.849998,100.029999,79.343468,11400
2007-05-25,99.959999,100.040001,99.919998,99.930000,79.264137,10600
2007-05-29,99.949997,99.949997,99.790001,99.839996,79.192764,10800
2007-05-30,100.050003,100.050003,99.839996,99.900002,79.240341,18600
2007-05-31,99.889999,99.910004,99.680000,99.809998,79.168915,9600
2007-06-01,99.050003,99.290001,99.019997,99.120003,78.924522,49100
2007-06-04,99.120003,99.250000,99.059998,99.250000,79.028038,6800
2007-06-05,99.089996,99.110001,98.930000,99.040001,78.860764,16600
2007-06-06,99.000000,99.199997,99.000000,99.199997,78.988174,27900
2007-06-07,98.820000,98.860001,98.739998,98.750000,78.629898,3000
2007-06-08,98.669998,98.790001,98.570000,98.750000,78.629898,6000
2007-06-11,98.660004,98.820000,98.660004,98.769997,78.645828,6200
2007-06-12,98.500000,98.550003,98.330002,98.349998,78.311394,8000
2007-06-13,98.400002,98.550003,98.330002,98.510002,78.438835,13200
2007-06-14,98.510002,98.580002,98.379997,98.470001,78.406937,3800
2007-06-15,98.550003,98.769997,98.550003,98.760002,78.637848,14800
2007-06-18,98.730003,98.849998,98.669998,98.830002,78.693596,9200
2007-06-19,98.980003,99.099998,98.940002,99.099998,78.908539,5200
2007-06-20,99.059998,99.059998,98.870003,98.959999,78.797096,74400
2007-06-21,98.980003,99.019997,98.839996,98.889999,78.741386,8900
2007-06-22,98.889999,99.129997,98.800003,99.099998,78.908539,8900
2007-06-25,99.330002,99.330002,99.199997,99.230003,79.012100,4200
2007-06-26,99.389999,99.389999,99.150002,99.279999,79.051926,6800
2007-06-27,99.519997,99.550003,99.379997,99.400002,79.147438,5000
2007-06-28,99.360001,99.379997,99.239998,99.260002,79.035942,3200
2007-06-29,99.320000,99.589996,99.300003,99.580002,79.290756,4000
2007-07-02,99.290001,99.360001,99.209999,99.330002,79.407516,11300
2007-07-03,99.320000,99.389999,99.180000,99.190002,79.295593,3700
2007-07-05,99.000000,99.019997,98.760002,98.779999,78.967819,4100
2007-07-06,98.699997,98.709999,98.529999,98.629997,78.847885,6200
2007-07-09,98.750000,98.779999,98.699997,98.730003,78.927826,5300
2007-07-10,99.120003,99.309998,99.080002,99.309998,79.391464,36200
2007-07-11,99.300003,99.379997,99.070000,99.070000,79.199638,6200
2007-07-12,99.150002,99.169998,98.919998,98.959999,79.111671,11200
2007-07-13,99.089996,99.089996,98.940002,99.040001,79.175583,3200
2007-07-16,99.080002,99.290001,99.040001,99.269997,79.359512,26400
2007-07-17,99.050003,99.269997,99.050003,99.190002,79.295593,6700
2007-07-18,99.250000,99.529999,99.250000,99.440002,79.495422,17900
2007-07-19,99.349998,99.410004,99.220001,99.400002,79.463440,13000
2007-07-20,99.570000,99.830002,99.570000,99.760002,79.751205,53700
2007-07-23,99.739998,99.809998,99.650002,99.760002,79.751205,123700
2007-07-24,99.839996,99.940002,99.820000,99.940002,79.895134,8800
2007-07-25,99.989998,100.099998,99.989998,100.029999,79.967140,26400
2007-07-26,100.449997,100.800003,100.449997,100.699997,80.502693,53700
2007-07-27,100.769997,100.900002,100.650002,100.790001,80.574661,14400
2007-07-30,100.830002,100.870003,100.580002,100.580002,80.406822,9700
2007-07-31,100.510002,100.809998,100.500000,100.809998,80.590652,37300
2007-08-01,100.029999,100.599998,100.029999,100.250000,80.438232,5500
2007-08-02,100.330002,100.470001,100.290001,100.440002,80.590660,4700
2007-08-03,100.519997,100.849998,100.519997,100.849998,80.919601,13400
2007-08-06,100.750000,100.919998,100.529999,100.529999,80.662903,7500
2007-08-07,100.629997,100.669998,100.389999,100.389999,80.550537,12800
2007-08-08,100.349998,100.349998,99.949997,100.230003,80.422165,13100
2007-08-09,100.650002,100.669998,100.480003,100.660004,80.767181,116100
2007-08-10,100.800003,100.800003,100.500000,100.519997,80.654854,28900
2007-08-13,100.500000,100.720001,100.480003,100.699997,80.799301,4900
2007-08-14,100.550003,101.919998,100.550003,101.919998,81.778130,6100
2007-08-15,101.099998,101.269997,100.959999,101.139999,81.152344,18400
2007-08-16,101.400002,102.070000,101.400002,101.870003,81.738068,30100
2007-08-17,101.379997,101.720001,101.379997,101.550003,81.481308,82300
2007-08-20,101.680000,101.889999,101.680000,101.760002,81.649788,8400
2007-08-21,102.150002,102.150002,101.820000,102.050003,81.882477,30900
2007-08-22,101.760002,101.879997,101.589996,101.730003,81.625771,16300
2007-08-23,101.650002,101.790001,101.540001,101.599998,81.521385,25600
2007-08-24,101.650002,101.699997,101.379997,101.529999,81.465187,7600
2007-08-27,101.629997,101.709999,101.459999,101.709999,81.609627,11500
2007-08-28,101.919998,102.300003,101.919998,102.300003,82.083069,7400
2007-08-29,102.339996,102.410004,101.949997,101.949997,81.802269,51500
